id,question,option1,option2,option3,option4,correct,weight
1,海島組的研究重點是什麼？,基礎研究,應用研究,創新研究,綜合研究,3,1
2,在實地考察中，您是否嚴格遵守安全規範？,從不遵守,偶爾遵守,經常遵守,嚴格遵守,3,1
3,您是否按時完成考察報告？,從不按時,偶爾按時,經常按時,總是按時,3,1
4,在團隊會議中，您的參與度如何？,從不發言,被動參與,積極參與,主導討論,3,1
5,您是否願意幫助其他團隊成員解決問題？,從不幫助,被動幫助,主動幫助,積極指導,3,1
6,您對考察數據的準確性重視程度如何？,不重視,一般重視,非常重視,極度重視,3,1
7,在考察中，您是否經常提出改進建議？,從不提出,偶爾提出,經常提出,積極提出,3,1
8,您是否願意承擔額外的考察任務？,從不承擔,偶爾承擔,經常承擔,主動承擔,3,1
9,在考察中，您的創新意識如何？,缺乏創新,一般創新,積極創新,引領創新,3,1
10,您對團隊目標的認同度如何？,不認同,部分認同,完全認同,積極推動,3,1
101,哪一項為影響海島淡水透鏡（freshwater lens）厚度的主要因子？,海水溫度,地下水抽取速率,岩石孔隙率,降雨量,3,1
102,Ghyben-Herzberg公式主要用來估算什麼？,抽水井的最大流量,地下水與海水交界的深度,海島的徑流速率,降雨的年均值,1,1
103,為了最佳化抽水行為，應該選擇下列哪一種策略？,增加抽水頻率,降低抽水深度並均勻分布抽水井,只在乾季抽水,單一大型抽水井集中抽水,1,1
104,若某島降雨量有限但需穩定供水，以下哪一策略最可行？,增加抽水速度,建立雨水回收系統並限制抽水量,依賴海水淡化,改用地面河川水源,1,1
105,什麼是淡水透鏡（freshwater lens）？,一種海水與淡水混合的層,地下含水層中的浮水層,河川中的淡水,岩石間毛細水,1,1
106,在小型環礁島嶼上，淡水主要儲存在何處？,海面上蒸發的水氣,雨水匯集地表,人工造井灌注,潮間帶濾水層,0,1
107,若抽水過度，會導致哪一種現象發生？,地下水位下降,海水倒灌,滲流不足,地下水上升,1,1
108,淡水透鏡的形成與下列哪一項最相關？,抽水井的深度,降雨量與滲透力,土地利用類型,海拔高度,1,1
109,海島的地下水補注率最常受哪一因素影響？,氣候變遷,降雨量,抽水技術,地表逕流,1,1
110,Ghyben-Herzberg原理中，海水與淡水的密度差異比值大約是多少？,10:1,40:1,25:1,100:1,2,1
111,何謂抽水最佳化？,提升抽水效率,在資源限制下達成最大供水與最小影響,提高水質,僅以最小成本建構井網,2,1
112,在進行抽水最佳化時，通常不建議的做法為何？,分時段抽水,地點分散佈井,地下水位監測,長期持續監測,3,1
113,根據文獻，如何延緩海水入侵的發生？,增加抽水量,加強補注並控制抽水,增設抽水井,增加抽水時間,2,1
114,哪種水文模型可以用來預測淡水透鏡的變化？,Ghyben-Herzberg模型,等溫線法模型,數值模擬模型,地形剖面模擬,3,1
115,在設計抽水策略時，應考慮下列哪一項？,抽水成本,水質變化,水源替代方案,居民需求,2,1
116,在海島環境中，何種方式可提升地下水永續性？,每日定量抽水,集中高效抽水,人工補注,雨水回收與地下補注,3,1
117,下列哪一項最能準確描述"recharge-limited"環境？,高降雨、快速補注,補注速度低於抽水速度,高海拔、多降雨地區,地下水井密度過高,2,1
118,抽水行為的最佳化有助於什麼？,降低抽水成本,增加補注能力,提升水壓,提升抽水量,2,1
119,透鏡厚度變化最快速的是在什麼情況下？,氣候穩定期間,抽水速率提高時,乾季開始時,高雨量持續時間,2,1
